77, 3.3910, 73.8474, 0.0439, 0.0402, 0.1549, 0.1492, 0.0057, 0.0020, 0.0440, 0.000077
78, 3.4321, 74.8164, 0.0439, 0.0406, 0.1568, 0.1510, 0.0058, 0.0020, 0.0440, 0.000077
79, 3.4730, 75.8355, 0.0438, 0.0386, 0.1587, 0.1528, 0.0059, 0.0020, 0.0440, 0.000077
80, 3.5140, 76.8245, 0.0437, 0.0398, 0.1606, 0.1547, 0.0059, 0.0020, 0.0440, 0.000077
81, 3.5549, 77.7435, 0.0437, 0.0427, 0.1625, 0.1565, 0.0060, 0.0020, 0.0440, 0.000077
82, 3.5959, 78.7225, 0.0437, 0.0402, 0.1643, 0.1583, 0.0061, 0.0020, 0.0440, 0.000077
83, 3.6368, 79.6816, 0.0436, 0.0409, 0.1662, 0.1601, 0.0061, 0.0020, 0.0440, 0.000077
84, 3.6778, 80.6606, 0.0436, 0.0402, 0.1681, 0.1619, 0.0062, 0.0020, 0.0440, 0.000077
85, 3.7188, 81.6296, 0.0436, 0.0406, 0.1700, 0.1637, 0.0063, 0.0020, 0.0440, 0.000077
86, 3.7599, 82.6585, 0.0435, 0.0384, 0.1718, 0.1655, 0.0064, 0.0020, 0.0440, 0.000077
87, 3.8010, 83.6175, 0.0435, 0.0410, 0.1737, 0.1673, 0.0064, 0.0020, 0.0440, 0.000077
88, 3.8419, 84.5665, 0.0435, 0.0414, 0.1756, 0.1691, 0.0065, 0.0020, 0.0440, 0.000077
89, 3.8830, 85.5455, 0.0434, 0.0402, 0.1775, 0.1709, 0.0066, 0.0020, 0.0440, 0.000077
90, 3.9239, 86.5245, 0.0434, 0.0402, 0.1793, 0.1727, 0.0066, 0.0020, 0.0440, 0.000077
91, 3.9650, 87.5234, 0.0433, 0.0395, 0.1812, 0.1745, 0.0067, 0.0020, 0.0440, 0.000077
92, 4.0060, 88.4925, 0.0433, 0.0406, 0.1831, 0.1763, 0.0068, 0.0020, 0.0440, 0.000077
94, 4.0470, 89.4614, 0.0433, 0.0406, 0.1850, 0.1781, 0.0069, 0.0020, 0.0440, 0.000077
95, 4.0880, 90.4405, 0.0432, 0.0402, 0.1869, 0.1799, 0.0069, 0.0020, 0.0440, 0.000077
96, 4.1291, 91.4993, 0.0432, 0.0374, 0.1888, 0.1817, 0.0070, 0.0020, 0.0440, 0.000077
97, 4.1699, 92.3985, 0.0432, 0.0434, 0.1906, 0.1835, 0.0071, 0.0020, 0.0440, 0.000077
98, 4.2110, 93.3774, 0.0432, 0.0403, 0.1925, 0.1853, 0.0072, 0.0020, 0.0440, 0.000077
98, 4.2429, 93.7571, 0.0433, 0.0775, 0.1939, 0.1867, 0.0072, 0.0020, 0.0440, 0.000077
99, 4.2639, 94.7361, 0.0431, 0.0210, 0.1949, 0.1877, 0.0073, 0.0020, 0.0440, 0.000077
100, 4.2934, 95.7151, 0.0429, 0.0293, 0.1963, 0.1890, 0.0074, 0.0020, 0.0440, 0.000077
101, 4.3344, 96.6740, 0.0429, 0.0410, 0.1982, 0.1908, 0.0074, 0.0020, 0.0440, 0.000077
102, 4.3755, 97.6330, 0.0429, 0.0410, 0.2001, 0.1926, 0.0075, 0.0020, 0.0440, 0.000077
103, 4.4165, 98.5919, 0.0429, 0.0410, 0.2019, 0.1944, 0.0076, 0.0020, 0.0440, 0.000077
104, 4.4575, 99.5509, 0.0429, 0.0410, 0.2038, 0.1962, 0.0076, 0.0020, 0.0440, 0.000077
